記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
410,beauty,410_beauty_home-patch-test-for-cosmetics.md,原因を特定したいなら皮膚科のパッチテスト（保険適用）が確実です。,原因を特定したいなら皮膚科のパッチテスト（保険適用）が有力な方法です。,皮膚科のパッチテストも偽陰性・偽陽性があり、判定は48・72時間（金属等は1週間後）と複数回必要。「確実」という断定は避けるのが妥当。,https://www.dermatol.or.jp/dermatol/wp-content/uploads/xoops/files/guideline/130_523contact_dermatitis2020.pdf; https://www.kango-roo.com/learning/8728/,jr_067,,
411,fashion,411_fashion_reusable-shopping-bag-hygiene.md,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」（買い物・持ち帰り）   https://www.mhlw.go.jp/www1/houdou/0903/h0331-1.html,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」（買い物・持ち帰り）   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/01_00006.html,www1/houdou/0903/h0331-1.html は平成9年（1997年）の報道発表アーカイブ。現行の掲載ページは stf/seisakunitsuite/.../syokuchu/01_00006.html。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/01_00006.html,jr_068,,
411,fashion,411_fashion_reusable-shopping-bag-hygiene.md,| 汚れの経路 | **肉・魚のドリップ、卵の殻、野菜の土、漏れた飲料**→バッグ内→次回の食品 | 厚労省 6つのポイント（つけない） |,| 汚れの経路 | **肉・魚のドリップ、卵の殻、野菜の土、漏れた飲料**→バッグ内→次回の食品 | 農水省「エコバッグでも食中毒予防」 |,厚労省「6つのポイント」はエコバッグを直接扱っていない。農林水産省に「賢く楽しくお買い物！～エコバッグでも食中毒予防～」という専用ページがあり、肉・魚・野菜をポリ袋に入れる／定期的に洗う等、本文の記述と一致する。,https://www.maff.go.jp/j/syouan/seisaku/foodpoisoning/ecobag.html,jr_068,,
411,fashion,411_fashion_reusable-shopping-bag-hygiene.md,2020年のレジ袋有料化以降、エコバッグは日本の全世帯に近い普及率になりました。,2020年7月のレジ袋有料化以降、エコバッグは広く使われるようになりました。,「全世帯に近い普及率」を裏づける公的統計は確認できない。環境省調査でも「常にマイバッグを持ち歩く」は51.9%（2020年11月）にとどまる。,https://www.env.go.jp/guide/info/ecojin/scope/20210929.html,jr_068,,
412,fashion,412_fashion_using-laundry-nets.md,- 日本石鹸洗剤工業会「洗濯のQ&A（洗濯ネット）」   https://jsda.org/w/index.html,- 日本石鹸洗剤工業会「石けん洗剤知識（洗濯）」   https://jsda.org/w/03_shiki/index.html,jsda.org/w/index.html は総合トップで、「洗濯のQ&A（洗濯ネット）」という該当ページは確認できない。洗濯の解説は「石けん洗剤知識」（/w/03_shiki/）。なお1着1ネットの根拠はライオンの解説が明確。,https://jsda.org/w/03_shiki/index.html; https://lidea.today/articles/813,jr_068,,
412,fashion,412_fashion_using-laundry-nets.md,| サイズ | **衣類を畳んでぴったり入るサイズ**。大きすぎると中で動いて摩擦 |,| サイズ | **衣類を畳んでぴったり入るサイズ**。**大きすぎても小さすぎても洗浄力が下がる**（ワイシャツ1枚なら30×33cm前後が目安） |,ライオンの検証では、ワイシャツ1枚を最適な中サイズ（30×33cm）ではなく小・大サイズのネットで洗うと、洗浄力がそれぞれ半分ほどに低下したとされる。「大きすぎると摩擦」だけでは説明が不足。,https://lidea.today/articles/813; https://tokubai.co.jp/news/articles/2555,jr_068,,
413,fashion,413_fashion_hanging-laundry-to-dry-faster.md,- 日本石鹸洗剤工業会「洗濯のQ&A（干し方・部屋干し）」   https://jsda.org/w/index.html,- 日本石鹸洗剤工業会「石けん洗剤知識（洗濯）」   https://jsda.org/w/03_shiki/index.html,jsda.org/w/index.html は総合トップで、「洗濯のQ&A（干し方・部屋干し）」という該当ページは確認できない。,https://jsda.org/w/03_shiki/index.html,jr_068,,
413,fashion,413_fashion_hanging-laundry-to-dry-faster.md,- **部屋干しの臭い**は**乾くまでの時間が長い**ことが原因（タオルの記事・部屋干しの記事参照）。**5時間以内に乾かす**が目安として語られます。,- **部屋干しの臭い**は**乾くまでの時間が長い**ことが原因（タオルの記事・部屋干しの記事参照）。臭いの原因菌（モラクセラ菌）は**濡れたまま5時間を超えると増えやすい**とされ、**5時間以内に乾かす**が目安として語られます。,生乾き臭の原因がモラクセラ菌の代謝物（4-メチル-3-ヘキセン酸）であることは花王と愛知学院大学の研究で示されており、「5時間」の目安はこの増殖挙動に由来する。出所を1行添えると根拠が明確になる。,https://www.nikkei.com/article/DGXNASGG2800A_Z10C11A6TJM000/; https://www.lenet.jp/magazine/20160525-01/,jr_068,,
414,fashion,414_fashion_choosing-a-washing-machine.md,| 汚れ落ち | **泥・皮脂・泥汚れに強い** | **皮脂には強いが、泥・固形汚れはやや弱い**とされる |,| 汚れ落ち | **泥・砂などの固形汚れと皮脂汚れに強い** | **皮脂には強いが、泥・固形汚れはやや弱い**とされる |,「泥・皮脂・泥汚れ」と「泥」が重複しており、記述として壊れている。,,jr_068,,
414,fashion,414_fashion_choosing-a-washing-machine.md,- **ヒートポンプ乾燥（ドラム式）**は**約60℃の低温**で衣類に優しく、**ヒーター式（縦型に多い）**は高温で縮みやすい（乾燥機の記事参照）。,- **ヒートポンプ乾燥（ドラム式）**は**約60〜65℃の低温**で衣類に優しく、**ヒーター式（縦型に多い）**は**80℃前後**の高温で縮みやすい（乾燥機の記事参照）。,メーカー・比較記事では、ヒートポンプは約65℃（おおむね60℃台）の温風、ヒーター式は80℃前後とされる。ヒーター式の温度を明記したほうが読者の判断材料になる。,https://panasonic.jp/wash/select/dry.html; https://aqua-has.com/post/compare-drum-washers.php,jr_068,,
414,fashion,414_fashion_choosing-a-washing-machine.md,| 水の使用量 | **約100〜150L／回** | **約60〜90L／回**（乾燥なし） |,| 水の使用量 | **約100〜130L／回**（容量が大きいほど増える） | **約60〜80L／回**（乾燥なし） |,"一般的な家庭用機の目安は縦型が約100L、ドラム式が約60L（年間の水道代差は3,500円程度とされる）。150L／90Lは上振れで、容量注記がないと誤解を招く。",https://www.cdedirect.co.jp/media/c1-electricity/c11-e-savings/2566/; https://event.rakuten.co.jp/market/appliance/article/417/,jr_068,,
414,fashion,414_fashion_choosing-a-washing-machine.md,**ドラム式は搬入できずに返品**の事例が多い。,**ドラム式は本体が大きく、搬入経路が確保できない場合がある**。,「返品の事例が多い」を裏づける統計は確認できない。断定を避けた表現が適切。,,jr_068,,
415,fashion,415_fashion_stockings-and-tights.md,**デニールは糸の太さ（厚さ）**で、品質ではありません。**季節と用途で選ぶ**（20〜30で透け、80以上で防寒）。,**デニールは糸の太さを表す単位（9000mあたりの重さがグラムで何gか）**で、品質ではありません。**季節と用途で選ぶ**（30デニール未満で透け、80以上で防寒）。,デニールは線密度の単位で「9000mに伸ばしたときの重さ（g）」。定義を添えると正確で、上の表の区分とも数字が揃う。,https://halmek.co.jp/qa/942; https://cancam.jp/archives/93373,jr_068,,
415,fashion,415_fashion_stockings-and-tights.md,- **足のむくみ**と**着圧ストッキング**：**市販の着圧製品は雑貨で効能表示不可**（立ち仕事の記事参照）。**医療用弾性ストッキングは別**。,- **足のむくみ**と**着圧ストッキング**：**雑貨として売られる市販の着圧製品は、医療的な効能を表示できません**（立ち仕事の記事参照）。**医療用弾性ストッキングは一般医療機器（クラスⅠ）として届け出られた別の製品**です。,静脈還流の促進等を標榜する弾性ストッキングはクラスⅠ（一般医療機器）に位置づけられる。「別」だけでは区分が伝わらず、また「効能表示不可」は薬機法上の位置づけを補って書くほうが正確。,https://www.shigyo.co.jp/post_topics/%E5%8C%BB%E7%99%82%E7%94%A8%E3%82%B9%E3%83%88%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%E7%9D%80%E5%9C%A7%E3%82%BD%E3%83%83%E3%82%AF%E3%82%B9%E3%81%AE%E5%8C%BB%E7%99%82%E6%A9%9F%E5%99%A8%E7%99%BB/; https://www.89ji.com/guide/beauty-clothing.html,jr_068,,
415,fashion,415_fashion_stockings-and-tights.md,- 消費者庁「家庭用品品質表示法　繊維製品品質表示規程」   https://www.caa.go.jp/policies/policy/representation/household_goods/guide/fiber/,- 消費者庁「繊維製品品質表示規程」（家庭用品品質表示法）   https://www.caa.go.jp/policies/policy/representation/household_goods/law/law_04.html,/guide/fiber/ は品目別の解説ガイド。規程そのものは /law/law_04.html に掲載されており、表題とURLが一致していない。,https://www.caa.go.jp/policies/policy/representation/household_goods/law/law_04.html; https://www.caa.go.jp/policies/policy/representation/household_goods/guide/fiber/fiber_show.html,jr_068,,
415,fashion,415_fashion_stockings-and-tights.md,- 日本化学繊維協会「ナイロン・ポリウレタンの特徴」   https://www.jcfa.gr.jp/,- 日本化学繊維協会「化学繊維の種類（ナイロン・ポリウレタン）」   https://www.jcfa.gr.jp/understanding-chemical-fibers/types-of-chemical-fibers/,サイト最上位ではなく、ナイロン・ポリウレタンの特徴を記載した「化学繊維の種類」ページを指すべき。,https://www.jcfa.gr.jp/understanding-chemical-fibers/types-of-chemical-fibers/,jr_068,,
416,fashion,416_fashion_necktie-care.md,- 環境省「クールビズ」   https://ondankataisaku.env.go.jp/coolchoice/coolbiz/,- 環境省「クールビズ／COOLBIZ」（デコ活）   https://ondankataisaku.env.go.jp/decokatsu/coolbiz/,COOL CHOICEは2023年12月で新規賛同登録を終了し「デコ活」へ移行。クールビズのページは /decokatsu/coolbiz/ 配下が現行。,https://ondankataisaku.env.go.jp/decokatsu/coolbiz/; https://ondankataisaku.env.go.jp/coolchoice/,jr_069,,
417,fashion,417_fashion_wallet-and-leather-small-goods.md,| **合皮** | 加水分解で剥がれ（数年） | 拭くだけ | 劣化のみ |,| **合皮** | ポリウレタンの加水分解で剥がれ（**製造から2〜3年で表面化するのが目安**） | 拭くだけ | 劣化のみ |,全国クリーニング生活衛生同業組合連合会の衣料管理情報は、ポリウレタン樹脂の劣化が製造後2〜3年で表面化するとし、クリーニング事故賠償基準では合成皮革外衣の平均使用年数を3年としている。,https://www.zenkuren.or.jp/news/5621; https://www.zenkuren.or.jp/news/2949,jr_069,,
417,fashion,417_fashion_wallet-and-leather-small-goods.md,- 東京都保健医療局「カビの発生を防ぐには」   https://www.hokeniryo.metro.tokyo.lg.jp/kankyo/kankyo_eisei/jukankyo/indoor/kenko/kenkai_bunyatosisin,- 東京都保健医療局「健康・快適居住環境の指針」（室内のカビ対策）   https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/web_zenbun1,検索で確認できる東京都保健医療局の該当資料は「健康・快適居住環境の指針」。記載のURLパス（kenkai_bunyatosisin）と表題「カビの発生を防ぐには」が一致せず、旧福祉保健局時代のURLの可能性がある。,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/web_zenbun1,jr_069,,
418,fashion,418_fashion_leather-jacket-care.md,- 東京都保健医療局「カビの発生を防ぐには」   https://www.hokeniryo.metro.tokyo.lg.jp/kankyo/kankyo_eisei/jukankyo/indoor/kenko/kenkai_bunyatosisin,- 東京都保健医療局「健康・快適居住環境の指針」（室内のカビ対策）   https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/web_zenbun1,417と同じ出典。検索で確認できるのは「健康・快適居住環境の指針」で、記載のURLパスと表題が一致しない。,https://www.hokeniryo.metro.tokyo.lg.jp/documents/d/hokeniryo/web_zenbun1,jr_069,,
418,fashion,418_fashion_leather-jacket-care.md,- 革ジャケットは**家庭用品品質表示法の対象**で、**革の種類（牛革・羊革・馬革等）**の表示があります。**羊革（ラム）は柔らかく傷みやすい、牛革は丈夫**。,- 革ジャケットは**家庭用品品質表示法（雑貨工業品品質表示規程「革又は合成皮革を使用したコート・上衣等」）の対象**で、**革の種類（牛革・馬革等）と取扱い上の注意**の表示があります。**羊革（ラム）は柔らかく傷みやすい、牛革は丈夫**。,根拠は繊維製品ではなく雑貨工業品品質表示規程十六。表示事項は材料の種類に加え取扱い上の注意・表示者名。どの規程かを示さないと読者が洗濯表示と混同する。なお出典一覧に消費者庁の資料が入っていない。,https://www.caa.go.jp/policies/policy/representation/household_goods/law/law_07/item_016.html; https://www.caa.go.jp/policies/policy/representation/household_goods/guide/zakka/zakka_16.html,jr_069,,
419,fashion,419_fashion_fur-and-shearling-care.md,**羊毛皮は水で硬化・縮み**。**ブラシと陰干し、専用クリーナー**。**内側の湿気を抜く**（ブーツの記事参照）。,**羊毛皮の多くは水で硬化・縮み**。**ブラシと陰干し、専用クリーナー**。**なめし方によっては「洗える」と表示された製品もあるため、まず表示を確認**。**内側の湿気を抜く**（ブーツの記事参照）。,クロムなめしのムートンには水洗い可とうたう製品があり、表内では「ウォッシャブル表示のラグは例外」としている。誤解4の断定と表の記述の温度差をそろえる。,https://moutons.jp/about/questions.html; https://goodon.jp/index.php?page=56,jr_069,,
419,fashion,419_fashion_fur-and-shearling-care.md,- 一般社団法人日本毛皮協会「毛皮のお手入れと保管」   https://www.fur.or.jp/,- 一般社団法人日本毛皮協会「毛皮の品名表示一覧」「毛皮のお手入れと保管」   https://www.fur.or.jp/knowledge_namae/,本文が品名表示の根拠として毛皮協会を引くなら、トップページではなく品名表示のページを示すほうが確認しやすい。,https://www.fur.or.jp/knowledge_namae/,jr_069,,
420,fashion,420_fashion_clothing-deodorising-sprays.md,| **除菌** | 雑貨 | **菌を減らす**（対象・条件は製品の試験による） | **「すべての菌を除菌するわけではない」の注記**が業界自主基準で求められる |,| **除菌** | 雑貨 | **菌を減らす**（対象・条件は製品の試験による） | **洗剤類では「すべての菌を除菌するわけではありません」の注記**が公正競争規約・業界統一基準で求められる（**布用スプレーは各社の自主的な表示**） |,「洗剤の除菌表示」に関する公正競争規約（洗剤・石けん公正取引協議会）とJSDAの統一基準は台所用・住居用・洗たく用洗剤が対象で、布用消臭スプレーを直接カバーする自主基準ではない。,https://jsda.org/w/web_jftc/koutorikyo/jyokinhyouji.pdf; https://jsda.org/w/01_katud/a_sekken27.html,jr_069,,
420,fashion,420_fashion_clothing-deodorising-sprays.md,- 消費者庁は**「除菌」「ウイルス除去」をうたう雑貨の表示**について、**根拠のない表示に景表法の措置命令**を出した事例があります（2020年以降複数）。**試験条件を確認**。,- 消費者庁は**「除菌」「ウイルス除去」をうたう雑貨の表示**について、**根拠のない表示に景表法の措置命令**を出した事例があります（2022年の空間除菌商品、2024年1月の二酸化塩素製品4社など、2020年以降くり返し）。**試験条件を確認**。,2022年（大幸薬品）、2023年12月（空気清浄機2社）、2024年1月（二酸化塩素4社）、2025年8月（P&Gジャパン）と直近まで事例が続いており、年次を具体化できる。,https://www.caa.go.jp/notice/entry/027004/; https://www.caa.go.jp/notice/entry/023821/,jr_069,,
420,fashion,420_fashion_clothing-deodorising-sprays.md,- 消費者庁「除菌・ウイルス除去をうたう商品の表示に関する景品表示法の措置命令」   https://www.caa.go.jp/policies/policy/representation/fair_labeling/,- 消費者庁「二酸化塩素による空間除菌を標ぼうする商品に対する景品表示法に基づく措置命令」   https://www.caa.go.jp/notice/entry/027004/,記載のURLは景品表示法の一般ページで、表題が示す措置命令の資料そのものではない。個別の措置命令の公表ページを示すほうが対応が取れる。,https://www.caa.go.jp/notice/entry/027004/,jr_069,,
421,health,421_health_brushing-teeth-timing-and-floss.md,"| 歯磨き粉 | **フッ化物配合（1,450ppm、2017年に上限引き上げ）**。**磨いた後のうがいは少量の水で1回**（フッ素を残す） | 厚生労働省・日本口腔衛生学会 |","| 歯磨き粉 | **フッ化物配合（市販品は1,450ppm。2017年に上限が1,500ppmへ引き上げ）**。**磨いた後のうがいは少量の水で1回**（フッ素を残す） | 厚生労働省・日本口腔衛生学会 |","2017年3月17日通知で薬用歯みがき類のフッ化物濃度上限は1,500ppmに拡大。1,450ppmは市販品の表示値で、上限値ではない。",https://www.japal.org/dom/notice/2017031803.html; https://www.whitecross.co.jp/articles/view/444/0,jr_070,,
421,health,421_health_brushing-teeth-timing-and-floss.md,**6歳未満は量を減らす**。,"**6歳未満は年齢に応じて使用量を調整**（2023年の4学会推奨では0〜5歳も1,000ppmFで、量は米粒〜グリーンピース大）。","2023年1月1日の4学会合同推奨は6歳未満にも900〜1,000ppmFを推奨し、濃度ではなく使用量で調整する方針に変更された。",https://www.kokuhoken.or.jp/jsdh/news/2023/news_230106.pdf; https://www.jspd.or.jp/recommendation/article19/,jr_070,,
421,health,421_health_brushing-teeth-timing-and-floss.md,- 日本口腔衛生学会「フッ化物配合歯磨剤の推奨される利用方法」（2023年）   https://www.kokuhoken.or.jp/,- 日本口腔衛生学会ほか4学会「フッ化物配合歯磨剤の推奨される利用方法」（2023年1月1日）   https://www.kokuhoken.or.jp/jsdh/news/2023/news_230106.pdf,kokuhoken.or.jp のトップは口腔保健協会。日本口腔衛生学会のサイトは /jsdh/ 配下で、当該提言PDFは news_230106.pdf。提言は4学会合同。,https://www.kokuhoken.or.jp/jsdh/news/2023/news_230106.pdf,jr_070,,
421,health,421_health_brushing-teeth-timing-and-floss.md,| 定期健診 | **年1〜2回の歯科健診**。**「歯科健診の受診率」は健康日本21の目標** | 厚生労働省 |,| 定期健診 | **年1〜2回の歯科健診**。**健康日本21（第三次）は「過去1年間に歯科健診を受診した者」を令和14年度までに95%とする目標** | 厚生労働省 |,健康日本21（第三次、令和6年度〜）の目標はベースライン56.0%、令和14年度95%。現行計画名と目標値を明記するのが正確。,https://www.mhlw.go.jp/content/10904750/001707761.pdf; https://www.nibn.go.jp/eiken/kenkounippon21/kenkounippon21/mokuhyou3rd.html,jr_070,,
422,health,422_health_bad-breath.md,- 日本歯科医師会は、**口臭の約9割は口腔由来**で、**舌苔と歯周病**が主因と説明しています。**「胃から」は誤解として繰り返し指摘**。,- 日本歯科医師会は、**病的口臭の9割以上は口の中に原因がある**とし、**舌苔と歯周病**が主因と説明しています。**「胃から」は誤解として繰り返し指摘**。,日本歯科医師会「お口のなんでも相談（口臭）」の記載は「病的口臭の90%以上は口の中に原因」。対象を病的口臭に限定するのが原典に忠実。,https://www.jda.or.jp/consultation/vol-06.html,jr_070,,
422,health,422_health_bad-breath.md,- 公益社団法人日本歯科医師会「歯とお口の健康Q&A（口臭）」   https://www.jda.or.jp/,- 公益社団法人日本歯科医師会「お口のなんでも相談（口臭）」   https://www.jda.or.jp/consultation/vol-06.html,日本歯科医師会の口臭解説は「お口のなんでも相談」vol-06。トップURLでは該当資料に到達できない。,https://www.jda.or.jp/consultation/vol-06.html,jr_070,,
423,health,423_health_dry-eye-and-eye-drops.md,| 情報機器作業 | **連続1時間以内、10〜15分の休止**、**画面は目の高さより下**（見下ろすと目の開きが小さく乾きにくい） | 厚生労働省ガイドライン |,| 情報機器作業 | **連続1時間以内、10〜15分の休止**、**画面は目の高さより下**（見下ろすと目の開きが小さく乾きにくい） | 厚生労働省ガイドライン（令和3年改正） |,出典欄も改正年を示すほうが正確（令和3年12月1日一部改正）。,https://www.jaish.gr.jp/anzen/hor/hombun/hor1-62/hor1-62-33-1-0.htm,jr_070,,
423,health,423_health_dry-eye-and-eye-drops.md,「まばたきを増やす（画面を見ると回数が1/3に減る）」,「まばたきを増やす（画面注視で回数が1/3〜1/4に減る）」,内部矛盾。同記事の表は「通常1分に約20回→画面注視で約5〜7回」で、これは1/3〜1/4であり導入の「1/3」と一致しない。,https://kompas.hosp.keio.ac.jp/disease/000193/,jr_070,,
423,health,423_health_dry-eye-and-eye-drops.md,"| ドライアイの推計 | **約2,000万人**（日本） | 日本眼科学会・ドライアイ研究会 |","| ドライアイの推計 | **約2,200万人**（日本） | ドライアイ研究会 |","ドライアイ研究会の現行推計は国内約2,200万人（発足当時は800万人）。日本眼科学会の解説ページには人数推計の記載がなく、帰属も研究会に一本化するのが正確。",https://dryeye.ne.jp/about/greeting/; https://www.ncgg.go.jp/hospital/iryokankei/letter/072.html,jr_070,,
423,health,423_health_dry-eye-and-eye-drops.md,"画面を見る時間の増加で、目の乾き・疲れを訴える人は日本で約2,000万人と推計されます。","画面を見る時間の増加で、ドライアイの人は日本で約2,200万人と推計されます。","表の修正に合わせ導入部も2,200万人に統一（ドライアイ研究会の推計）。",https://dryeye.ne.jp/about/greeting/,jr_070,,
423,health,423_health_dry-eye-and-eye-drops.md,- 公益財団法人日本眼科学会「ドライアイ」（目の病気）   https://www.nichigan.or.jp/public/disease/,- 公益財団法人日本眼科学会「ドライアイ」（目の病気）   https://www.nichigan.or.jp/public/disease/name.html?pdid=9,日本眼科学会のドライアイ解説の実URLは name.html?pdid=9。一覧URLでは該当記述に到達できない。,https://www.nichigan.or.jp/public/disease/name.html?pdid=9,jr_070,,
424,health,424_health_ear-cleaning.md,日本耳鼻咽喉科頭頸部外科学会は「耳掃除は基本的に不要、するなら月1〜2回、入口から1cm程度まで」と案内し、,日本耳鼻咽喉科頭頸部外科学会は「自浄作用があるので多少の耳垢なら家庭で無理に取る必要はない」と案内しており（するなら月1回程度・入口から1cm程度までが耳鼻科の一般的な目安）、,学会ページの記載は自浄作用と「入浴後にぬれた耳を軽く拭う程度」で、「月1〜2回」という頻度は学会文言としては確認できない（耳鼻科クリニックの一般的な目安）。,https://www.jibika.or.jp/modules/disease_kids/index.php?content_id=2,jr_070,,
425,health,425_health_nail-cutting-and-ingrown-nails.md,- 一般社団法人日本フットケア・足病医学会「正しい爪の切り方」   https://jfcpm.org/,- 一般社団法人日本フットケア・足病医学会「家庭でできる足のケア（爪ケア編）」   https://jfcpm.org/column/no7/index.html,学会サイトに「正しい爪の切り方」という表題の一般向け記事は確認できず、該当内容はコラム「家庭でできる足のケア（爪ケア編）」。,https://jfcpm.org/column/no7/index.html,jr_070,,
425,health,425_health_nail-cutting-and-ingrown-nails.md,- 公益社団法人日本皮膚科学会「皮膚真菌症診療ガイドライン」（爪白癬）   https://www.dermatol.or.jp/dermatol/wp-content/uploads/xoops/files/guideline/,- 公益社団法人日本皮膚科学会「日本皮膚科学会皮膚真菌症診療ガイドライン2019」（爪白癬）   https://minds.jcqhc.or.jp/summary/c00549/,現行版は2019年12月20日発行の「皮膚真菌症診療ガイドライン2019」（10年ぶりの改訂）。版年の明記と到達可能なURLが必要。,https://minds.jcqhc.or.jp/summary/c00549/; https://www.jstage.jst.go.jp/article/dermatol/129/13/129_2639/_article/-char/ja/,jr_070,,
426,health,426_health_low-temperature-burns.md,| **使い捨てカイロ** | **40〜60℃（最高温度は60℃超も）** | **肌に直接貼らない**（衣類の上）、**就寝時は使わない**、**同じ場所に長時間当てない** |,| **使い捨てカイロ** | **平均温度50℃前後・最高温度63℃以下（JIS S 4100の表示温度）** | **肌に直接貼らない**（衣類の上）、**就寝時は使わない**、**同じ場所に長時間当てない** |,使いすてかいろはJIS S 4100で表示温度が規定され、最高温度63℃以下・平均温度50℃前後が一般的（例：桐灰カイロはる＝最高63℃／平均53℃）。「最高温度は60℃超も」は例外的な表現で、規格上の上限を示すほうが正確。,https://kikakurui.com/s/S4100-2007-01.html; https://www.kobayashi.co.jp/brand/kiribai/lineup/maguma.html; https://products.st-c.co.jp/support/faq/detail/11299/,jr_071,,
426,health,426_health_low-temperature-burns.md,- **対処**：**流水で冷やす（15〜30分）**、**水ぶくれは破らない**、**衣類を無理に剥がさない**、**医療機関（皮膚科・形成外科）へ**。**軟膏・アロエ・味噌などの民間療法は不可**。,- **対処**：**流水で冷やす（痛みが和らぐまで10〜20分程度。氷・保冷剤を直接当てない）**、**水ぶくれは破らない**、**衣類を無理に剥がさない**、**医療機関（皮膚科・形成外科）へ**。**軟膏・アロエ・味噌などの民間療法は不可**。,日本熱傷学会・日本創傷外科学会の一般向け解説は「水道水などのきれいな流水で痛みが和らぐまで10〜20分程度」「氷や保冷剤を直接当てない（凍傷の危険）」としている。15〜30分という幅は出典により異なり、直接冷却の禁止注意が抜けている。,http://www.jsbi-burn.org/ippan/chishiki/outline.html; https://www.jsswc.or.jp/general/yakedo.html,jr_071,,
428,health,428_health_fall-prevention-and-locomotive-syndrome.md,**骨密度（骨粗鬆症）の検査と治療**で骨折リスクは下がります。**女性は閉経後、男性は70歳以降に検査**が目安。**一度転んだ人は再転倒のリスクが高く、原因の見直し**を。,**骨密度（骨粗鬆症）の検査と治療**で骨折リスクは下げられます。**公的な骨粗鬆症検診は40〜70歳の女性を対象に5歳刻みで実施**されており、**男性や対象年齢外の人は、骨折歴・体格・服薬などのリスクに応じて医師に相談**を。**一度転んだ人は再転倒のリスクが高く、原因の見直し**を。,健康増進法に基づく骨粗鬆症検診の対象は40・45・50・55・60・65・70歳の女性で、「男性は70歳以降に検査」という公的な目安はない。骨粗鬆症の予防と治療ガイドラインは2025年8月に10年ぶりに改訂（2025年版）されており、検査の考え方は最新版で確認が必要。,https://www.lifescience.co.jp/shop2/index_0267.html; https://www.jadecom.or.jp/upload/2025/10/16/%E9%AA%A8%E7%B2%97%E9%AC%86%E7%97%87%E6%B2%BB%E7%99%82%E3%82%AC%E3%82%A4%E3%83%89%E3%83%A9%E3%82%A4%E3%83%B32025%E5%B9%B4%E7%89%88%E3%81%AE%E7%99%BA%E8%A1%A8_%E5%BC%98%E7%94%B0%E7%BE%A9%E4%BA%BA_20251015.pdf,jr_071,,
429,health,429_health_strength-training-frequency.md,筋力トレーニングは、2023年の厚生労働省のガイドで初めて全成人に「週2〜3日」と明記され、日本でも関心が高まりました。「毎日やるほどよい」「高齢者には危険」「回数は多いほど」といった誤解を、ガイドと運動生理学の一般的な説明から整理します。,筋力トレーニングは、厚生労働省「健康づくりのための身体活動・運動ガイド2023」（2024年1月公表）で初めて成人・高齢者ともに「週2〜3日」と明記され、日本でも関心が高まりました。「毎日やるほどよい」「高齢者には危険」「回数は多いほど」といった誤解を、ガイドと運動生理学の一般的な説明から整理します。,同ガイドは「令和6年1月」付で公表されており、名称は2023だが公表は2024年1月。「2023年の厚生労働省のガイド」だと公表年と誤読される。,https://www.mhlw.go.jp/content/001194020.pdf; https://www.mhlw.go.jp/content/001204942.pdf,jr_071,,
429,health,429_health_strength-training-frequency.md,- 厚生労働省 e-ヘルスネット「レジスタンス運動」   https://kennet.mhlw.go.jp/information/information/exercise/s-05-003.html,- 厚生労働省 e-ヘルスネット「レジスタンス運動」   https://kennet.mhlw.go.jp/information/information/dictionary/exercise/ys-058.html,e-ヘルスネットの「レジスタンス運動」の用語解説ページは /information/information/dictionary/exercise/ys-058.html。記載のURLは検索でヒットせず、リンク切れの可能性がある（併せてガイド2023の情報シート /exercise/s-00-005.html も参照先候補）。,https://kennet.mhlw.go.jp/information/information/dictionary/exercise/ys-058.html; https://kennet.mhlw.go.jp/information/information/exercise/s-00-005.html,jr_071,,
430,health,430_health_hangover-remedies.md,| **迎え酒** | **症状を一時的にごまかし、分解を遅らせる**。**アルコール依存のリスク** |,| **迎え酒** | **新たなアルコールで感覚が鈍り、症状を一時的にごまかすだけ**。**アセトアルデヒドがさらに生じ、回復は先送り**。**アルコール依存のリスク** |,「迎え酒が分解を遅らせる」はメタノール競合などの仮説で確立していない。一般的な説明は、エタノールの中枢抑制作用で頭痛・吐き気が鈍るだけで、飲んだ分のアセトアルデヒドが新たに生じるというもの。断定を避けた表現が適切。,https://www.eisai.jp/articles/hangover/hangover01; https://kennet.mhlw.go.jp/information/information/dictionary/alcohol/ya-005.html,jr_071,,
430,health,430_health_hangover-remedies.md,**分解を遅らせ、症状を先送り**。**依存の入口**とされます。,**感覚が鈍って症状をごまかすだけで、回復は先送り**。**依存の入口**とされます。,上記と同じ。迎え酒がアセトアルデヒドの分解速度を遅らせるという点は根拠が確立していないため、「症状をごまかすだけ」という説明にとどめるのが妥当。,https://www.eisai.jp/articles/hangover/hangover01,jr_071,,
